EMP_CODE,ORG_NAME,ORG_CITY,EMP_PER_OUTLET,ORG_TYPE,EXPANSION,RECONCILIATION,WHY_NO_POS,LANGUAGE_PREF,PAYMENT_PREF,PAYMENT_AMOUNT,INTERNET_ACCESS,INTERNET_PROVIDER,INTERNET_DISRUPTION,DEPLOYMENT_PREF,BUSINESS_IMPROVEMENT,STORE_CUST_DATA,OFFER_DISCOUNTS,COMPETITIVE_ADVANTAGE,ORG_CITY_CLEAN
33409,The wool shop,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,Urdu,Onetime payment, (Na),No,Na,No internet,Web-based,Yes,Yes,Yes,Yes,ISL
33409,Faisal cloth house,Islamabad,More than 5 but less than 10,Single Outlet,Yes,Yes,Don’t want to spend money,"Both, English & Urdu",Onetime payment, (Na),No,Na,No internet,Web-based,Yes,Yes,Yes,Yes,ISL
33409,Glamour fabrics,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,English,Onetime payment, (Na),No,Na,No internet,Web-based,Yes,Yes,Yes,Yes,ISL
33409,Sila jewelers,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,English,Onetime payment, (Na),No,Na,No internet,Web-based,Yes,Yes,Yes,Yes,ISL
33409,Rehan book shop,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,English,Onetime payment, (Na),No,Na,No internet,Web-based,Yes,No,Yes,Yes,ISL
33409,Khursheed bhai chasme. Wala,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,English,Onetime payment, (Na),No,Na,No internet,Web-based,Yes,No,Yes,Yes,ISL
33409,Ishraa beding store,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,"Both, English & Urdu",Monthly recurring, (Na),No,Na,No internet,Web-based,Yes,No,Yes,Yes,ISL
33409,Sadique books,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,English,Onetime payment, (Na),No,Na,No internet,Web-based,Yes,No,Yes,Yes,ISL
34314,United Medical Store,Rawalpindi,Less than 5,Single Outlet,No,No,I am happy with how my business is managed presently,English,Yearly plan, (Other),No,No idea,No internet,Standalone,No,No,No,No,RWP
33409,Zaid cloth house,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,English,Onetime payment, (Na),No,Na,No internet,Web-based,Yes,No,Yes,Yes,ISL
33409,Azhat brother General store,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,"Both, English & Urdu",Yearly plan, (Na),No,Na,No internet,Web-based,Yes,No,Yes,Yes,ISL
33409,Gulshan pan store,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,"Both, English & Urdu",Monthly recurring, (Na),No,Na,No internet,Web-based,Yes,No,Yes,Yes,ISL
36731,zaman mobile,islamabad,Less than 5,Single Outlet,Yes,No,I am happy with how my business is managed presently,"Both, English & Urdu",Yearly plan, (100000),Yes,Ptcl,Little,Standalone,No,No,No,No,ISL
33409,Menu store,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,"Both, English & Urdu",Monthly recurring, (Na),No,Na,No internet,Web-based,Yes,No,Yes,Yes,ISL
33409,Sunny gifts gallery,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,"Both, English & Urdu",Monthly recurring, (Nq),No,Na,No internet,Web-based,Yes,No,Yes,Yes,ISL
33409,Orient prints and publishers,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,"Both, English & Urdu",Onetime payment, (Na),Yes,Nayatel,Sometimes,Web-based,Yes,No,Yes,Yes,ISL
33409,Al faisal cloths,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,"Both, English & Urdu",Monthly recurring, (Na),No,Na,No internet,Web-based,Yes,No,Yes,Yes,ISL
30859,Colour stationery,Islamabad,Less than 5,Single Outlet,No,Yes,"Don’t want to spend money, I have reservations with technology, It never crossed my mind to have such a system",English,Onetime payment, (25000),Yes,Niya tel,Little,Web-based,Yes,No,No,Yes,ISL
33409,Kainat rice,Islamabad,More than 5 but less than 10,Multiple outlets,Yes,Yes,Don’t want to spend money,"Both, English & Urdu",Yearly plan, (Na),No,Na,No internet,Web-based,Yes,No,Yes,Yes,ISL
37459,Ali pharmacy and cosmetics G-11 Markaz,Islamabad,More than 5 but less than 10,Multiple outlets,Yes,No,I have reservations with technology,English,Onetime payment, (Pkr),Yes,Ptcl,Never,Web-based,Yes,Yes,Yes,No,ISL
33409,Imran sports,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,"Both, English & Urdu",Monthly recurring, (Na),No,Na,No internet,Web-based,Yes,No,Yes,Yes,ISL
33409,Zeb tradors,Islamabad,Less than 5,Single Outlet,Yes,No,Don’t want to spend money,Urdu,Monthly recurring, (Na),No,Na,No internet,Web-based,Yes,No,Yes,No,ISL
33409,New pak auto,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,Urdu,Onetime payment, (Na),No,Na,No internet,Web-based,Yes,No,Yes,Yes,ISL
37459,Servis shoes,Islamabad,Less than 5,Multiple outlets,Yes,No,Don’t want to spend money,English,Onetime payment, (50k),Yes,Ptcl,Never,Standalone,Yes,No,No,No,ISL
33409,Vicky autos,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,"Both, English & Urdu",Monthly recurring, (Nq),No,Na,No internet,Web-based,Yes,No,Yes,Yes,ISL
33409,Kohat oil traders,Islamabad,Less than 5,Single Outlet,Yes,Yes,"I am happy with how my business is managed presently, I have reservations with technology, It never crossed my mind to have such a system, Tax purposes","Both, English & Urdu",Monthly recurring, (Na),No,Na,No internet,Web-based,Yes,No,Yes,Yes,ISL
37459,Pakeez super variety store,Islmabad,Less than 5,Single Outlet,Yes,No,"Don’t want to spend money, It never crossed my mind to have such a system",English,Onetime payment, (60k),No,None,No internet,Standalone,No,No,No,No,ISL
33409,Nowshera auto decorations,Islamabad,Less than 5,Single Outlet,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently","Both, English & Urdu",Monthly recurring, (Na),No,Na,No internet,Web-based,Yes,No,Yes,Yes,ISL
33409,Zain. Autos,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,"Both, English & Urdu",Monthly recurring, (Na),No,Na,No internet,Web-based,Yes,No,Yes,Yes,ISL
33409,Lucky cement,Islamabad,Less than 5,Single Outlet,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently","Both, English & Urdu",Monthly recurring, (Nq),No,Na,No internet,Web-based,Yes,No,Yes,Yes,ISL
769,Al Khair Chemist,Karachi,Less than 5,Single Outlet,No,No,I am happy with how my business is managed presently,English,Monthly recurring, (10000),No,Not available,No internet,Standalone,No,No,Yes,No,KHI
769,Bata Comfort Shoes,Karachi,Less than 5,Single Outlet,No,No,I have reservations with technology,Other: (Article base),Yearly plan, (50000),No,Do not have Internet,No internet,Standalone,Yes,No,Yes,No,KHI
36731,ghazi mobiles,islamabad,Less than 5,Single Outlet,Yes,Yes,"I am happy with how my business is managed presently, I have reservations with technology, Tax purposes","Both, English & Urdu",Onetime payment, (50000),Yes,ptcl,Little,Standalone,No,No,No,No,ISL
36731,Matloob computer,Rawalpindi,Less than 5,Single Outlet,Yes,Yes,"I am happy with how my business is managed presently, I have reservations with technology","Both, English & Urdu",Yearly plan, (30000),No,none,No internet,Standalone,Yes,No,Yes,No,RWP
35918,Expecturm,Karachi,Less than 5,Multiple outlets,Yes,Yes,Don’t want to spend money,Urdu,Yearly plan, (9600),No,No internet,No internet,Standalone,No,No,Yes,No,KHI
37472,isaaf,rawalpindi,Less than 5,Multiple outlets,Yes,No,"Don’t want to spend money, I am happy with how my business is managed presently",English,Yearly plan, (80k),Yes,ptcl,Never,Web-based,No,No,No,No,RWP
769,Waris Medical Store,Karachi,Less than 5,Multiple outlets,No,No,I am happy with how my business is managed presently,English,Monthly recurring, (5000),No,No internet,No internet,Standalone,No,No,Yes,No,KHI
769,Shokat Daires,Karachi,More than 5 but less than 10,Multiple outlets,No,No,I have reservations with technology,English,Yearly plan, (Not willing to have POS),No,No Internet,No internet,Standalone,No,No,No,No,KHI
36585,abid ahmad,Rawalpindi,Less than 5,Single Outlet,Yes,Yes,Tax purposes,Urdu,Monthly recurring, (monthly),Yes,wafi,Sometimes,Web-based,Yes,No,Yes,Yes,RWP
36750,Inam Decorations,Rawalpindi,More than 5 but less than 10,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,"Both, English & Urdu",Monthly recurring, (Monthly),No,None,No internet,Standalone,Yes,Yes,Yes,Yes,RWP
36750,Noreen Parlour,Islamabad,More than 5 but less than 10,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,"Both, English & Urdu",Monthly recurring, (Monthly),No,None,No internet,Standalone,Yes,Yes,Yes,Yes,ISL
36750,Care Plus,Islamabad,More than 5 but less than 10,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,"Both, English & Urdu",Monthly recurring, (Monthly),Yes,PTCL,Little,Standalone,Yes,Yes,Yes,Yes,ISL
36731,Bismillah general store,islamabad,Less than 5,Single Outlet,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently",Urdu,Onetime payment, (15000),No,none,No internet,Standalone,No,No,No,No,ISL
36731,Khan G general store,Islamabad,More than 10,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,"Both, English & Urdu",Monthly recurring, (50000),No,none,No internet,Standalone,No,No,No,No,ISL
36750,Shumail Photographer,Islamabad,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,"Both, English & Urdu",Monthly recurring, (Monthly),No,None,No internet,Standalone,Yes,Yes,Yes,Yes,ISL
36731,Rana Bakers,Islamabad,Less than 5,Single Outlet,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently","Both, English & Urdu",Onetime payment, (20000),No,none,No internet,Standalone,Yes,No,No,No,ISL
36750,Sweedish Institute,Rawalpindi,More than 10,Multiple outlets,Yes,Yes,I am happy with how my business is managed presently,"Both, English & Urdu",Monthly recurring, (Monthly),Yes,PTCL,Little,Web-based,Yes,Yes,Yes,Yes,RWP
36750,Tasty Foods,Rawalpindi,More than 10,Multiple outlets,Yes,Yes,I am happy with how my business is managed presently,"Both, English & Urdu",Monthly recurring, (Monthly),Yes,PTCL,Sometimes,Standalone,Yes,Yes,Yes,Yes,RWP
36750,TMAX Mobile,Islamabad,More than 5 but less than 10,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,"Both, English & Urdu",Monthly recurring, (Monthly),Yes,PTCL,Sometimes,Standalone,Yes,Yes,Yes,Yes,ISL
